,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3
  Yatırım Faaliyetlerinden Giderler (-),-9579000.0,-3031000.0,-2765000.0,-2596000.0,-64485000.0,-50669000.0,-1451000.0,-2596000.0
  Çalışanlara Sağlanan Faydalara İliş.Karş.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Ödenmiş Sermaye,675728000.0,675728000.0,675728000.0,675728000.0,675728000.0,675728000.0,675728000.0,675728000.0
  Özkaynak Yöntemiyle Değerlenen Yatırımlar,855409000.0,702473000.0,685753000.0,709691000.0,648016000.0,662956000.0,599775000.0,709691000.0
  İşletme Sermayesindeki Değişiklikler,-11677961000.0,-8267725000.0,-6786228000.0,-4233638000.0,-366321000.0,54891000.0,759358000.0,-4233638000.0
  Şerefiye,2844448000.0,3368049000.0,1528168000.0,1121835000.0,989060000.0,980384000.0,853216000.0,1121835000.0
 Diğer Nakit Girişi/Çıkışı,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Düzeltme Öncesi Kar,3251009000.0,2358165000.0,1641347000.0,1100192000.0,2878989000.0,1709215000.0,668008000.0,1100192000.0
 Düzeltmeler:,8298228000.0,4563972000.0,2920740000.0,1452254000.0,4075683000.0,3514784000.0,1529056000.0,1452254000.0
 Esas Faaliyet ile İlgili Oluşan Nakit (+),-128724000.0,-1345588000.0,-2224141000.0,-1681192000.0,6588351000.0,5278890000.0,2956422000.0,-1681192000.0
 Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,4232375000.0,1388867000.0,1436045000.0,928555000.0,1273505000.0,1818022000.0,713495000.0,928555000.0
 Yatırım Faaliyetlerinden Kaynaklanan Nakit,-4383598000.0,-3593441000.0,-4261606000.0,-422177000.0,-1321760000.0,-693233000.0,-309468000.0,-422177000.0
 İşletme Faaliyetlerinden Kaynaklanan Net Nakit,-627447000.0,-1652875000.0,-2325585000.0,-1724120000.0,6420905000.0,5166107000.0,2904991000.0,-1724120000.0
 İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),11549237000.0,6922137000.0,4562087000.0,2552446000.0,6954672000.0,5223999000.0,2197064000.0,2552446000.0
(Esas Faaliyet Dışı) Finansal Gelirler,11309358000.0,3407323000.0,2555708000.0,1776185000.0,3852496000.0,2707888000.0,1485460000.0,1776185000.0
(Esas Faaliyet Dışı) Finansal Giderler (-),-14969635000.0,-4759700000.0,-3410460000.0,-2164273000.0,-5424296000.0,-4172970000.0,-2388035000.0,-2164273000.0
Amortisman Giderleri,1845682000.0,1187030000.0,725727000.0,344989000.0,1221994000.0,896951000.0,578332000.0,344989000.0
Ana Ortaklık Payları,3064674000.0,2274737000.0,1623361000.0,1092735000.0,2847839000.0,1684346000.0,662357000.0,1092735000.0
Araştırma ve Geliştirme Giderleri (-),-444068000.0,-294836000.0,-181757000.0,-87472000.0,-318211000.0,-229324000.0,-144917000.0,-87472000.0
Azınlık Payları,186335000.0,83428000.0,17986000.0,7457000.0,31150000.0,24869000.0,5651000.0,7457000.0
BRÜT KAR (ZARAR),20478345000.0,14001533000.0,8876053000.0,4482842000.0,13806373000.0,9003166000.0,4875888000.0,4482842000.0
DURDURULAN FAALİYETLER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diğer Faaliyet Gelirleri,5776423000.0,1647993000.0,1351002000.0,890017000.0,1769360000.0,1793135000.0,1007053000.0,890017000.0
Diğer Faaliyet Giderleri (-),-3763793000.0,-1524417000.0,-1192606000.0,-750728000.0,-760019000.0,-696976000.0,-381707000.0,-750728000.0
Diğer Finansman Faaliyetlerinden Nakit,-3305486000.0,-2107443000.0,-919043000.0,-351706000.0,-1878591000.0,-1702093000.0,-1067923000.0,-351706000.0
Diğer Gelir ve Giderler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diğer Nakit ve Nakit Benzerlerindeki Artış,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duran Varlıklar,25483798000.0,18953847000.0,19102916000.0,14816354000.0,13488195000.0,13422164000.0,12107067000.0,14816354000.0
Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DÖNEM KARI (ZARARI),3251009000.0,2358165000.0,1641347000.0,1100192000.0,2878989000.0,1709215000.0,668008000.0,1100192000.0
Dönem Başı Nakit Değerler,11988227000.0,11988227000.0,11988227000.0,11988227000.0,6922938000.0,6922938000.0,6922938000.0,11988227000.0
